Date,High,Low,Open,Volume,Close
25-02-2024,318.5612621,312.1194151,317.797784,12380320,315.473938
26-02-2024,316.695528,312.0717178,312.2816696,8160344,312.6252441
27-02-2024,,309.7813039,309.9721735,7548064,310.5829468
28-02-2024,311.9714243,308.3115156,311.1172879,8458568,310.0579529
01-03-2024,311.3941678,306.9135091,309.9721988,13599368,308.3545837
02-03-2024,312.9306607,307.996687,,7146824,311.3655396
03-03-2024,315.4071755,308.2591197,313.5318914,9176928,
04-03-2024,317.3205805,312.5488424,313.3170969,8628352,316.2660217
05-03-2024,319.7064595,315.9367863,,5644400,317.0390625
06-03-2024,319.5156033,316.7527714,318.7044078,4700216,
07-03-2024,320.2791372,315.5169508,319.8019633,3925584,316.4665222
08-03-2024,316.3138079,310.7356496,314.7439104,7097544,314.3049011
09-03-2024,315.8699999,308.3020182,313.1262504,10664680,310.597229
10-03-2024,310.9026706,304.0695307,310.5925076,21263240,305.5058289
11-03-2024,310.6974176,302.0510189,306.3455831,18678336,308.7457581
12-03-2024,323.3329677,309.9243839,318.0077034,20782384,311.0982361
13-03-2024,309.3947363,300.3809273,309.3947363,13198304,301.3161926
14-03-2024,306.3504556,301.4164816,303.4826355,8391912,304.6326294
15-03-2024,307.299962,302.5282235,306.3456143,6119624,303.7640991
16-03-2024,305.3912953,299.8942427,302.7238979,6626896,300.6815796
17-03-2024,304.6135249,301.9556569,302.9147811,12016720,302.7811584
18-03-2024,302.7811584,302.7811584,302.7811584,0,302.7811584
19-03-2024,305.3913131,301.8936375,304.2460956,5962904,303.0627136
20-03-2024,304.7231928,302.0510195,302.4327585,6042480,
21-03-2024,304.9140719,302.6236376,303.7688548,4835464,303.2678223
22-03-2024,304.4368941,302.6236336,303.2582654,7741936,303.5588989
23-03-2024,309.876675,303.9597197,,4764392,307.2713013
24-03-2024,308.5406374,302.9624793,304.6278115,4196688,303.1867371
25-03-2024,303.9120102,301.0966846,303.1866966,4566024,302.0653381
26-03-2024,302.5282431,,300.7149823,15596072,292.7318726
27-03-2024,294.7407845,290.7372998,292.9847937,9161992,292.5362549
28-03-2024,298.2336671,291.3480575,292.5075807,6179400,296.9405212
29-03-2024,304.1029313,296.329773,297.5847311,7044200,
30-03-2024,312.5489279,303.7689275,303.7689275,7299968,311.6184387
31-03-2024,311.5945511,307.0279876,310.1868881,5184688,310.5543213
01-04-2024,314.4432643,305.8922995,310.5542974,8409192,312.3055115
02-04-2024,318.752122,291.9397289,314.8392966,14188792,303.2487488
03-04-2024,,286.3138555,305.2003867,17246512,287.7406006
04-04-2024,299.5554642,290.3316789,290.98064,8787344,297.9664612
05-04-2024,301.9842754,295.7571561,297.5656405,6788304,301.2971497
06-04-2024,303.4825328,294.0487975,301.5738376,9832744,297.1742859
07-04-2024,302.6236557,287.4638332,298.2336563,9081776,292.941803
08-04-2024,296.8928091,291.0903702,293.0801945,5750544,
09-04-2024,301.0967356,295.8001052,295.8478226,,
10-04-2024,304.2460567,297.5656226,298.0905138,5389320,302.8431702
11-04-2024,292.6558063,282.013777,292.6558063,41341328,282.9328613
12-04-2024,286.3140848,278.6276429,284.4323855,28035616,284.3743286
13-04-2024,290.0146912,286.4157545,286.4157545,6229856,289.5744934
14-04-2024,293.8119428,287.794363,291.0111586,6824936,291.9012146
15-04-2024,292.8832045,285.7385227,291.6883852,5508008,288.7376404
16-04-2024,296.8545828,286.5608468,290.2371845,12153720,294.2182617
17-04-2024,291.2046352,285.3998916,290.2516803,16882424,290.5322571
18-04-2024,291.6883647,287.9249654,290.8176532,10858344,
19-04-2024,298.866881,,290.2371673,10479176,297.5075989
20-04-2024,315.1250049,298.9781532,300.3954686,20375704,308.9429626
21-04-2024,318.9755259,301.9144063,317.3260064,21128856,307.1725464
22-04-2024,310.2635584,,308.4737624,10151744,308.3286438
23-04-2024,315.3620669,307.6514366,308.231911,9375328,313.857666
24-04-2024,316.0682829,311.3809572,,10079392,314.118866
25-04-2024,316.8422749,310.819853,313.9399029,9791280,313.5045471
26-04-2024,321.4859962,,314.0220741,11313704,
27-04-2024,323.072666,318.5691713,321.1958083,8853000,320.8668823
28-04-2024,320.1267456,311.6614951,319.2608762,6328112,312.7353821
29-04-2024,312.9627884,308.826908,312.4887437,10638024,309.95401
30-04-2024,313.9399122,310.1668285,313.9399122,6433520,310.6747437
01-05-2024,312.9724308,306.5630263,311.5212448,7376552,
02-05-2024,313.0305061,306.8774679,309.5863485,6890744,311.8501892
03-05-2024,315.681414,310.6893234,,7290576,
04-05-2024,314.8880324,310.1668357,313.9399195,4662512,311.6228638
05-05-2024,313.8044678,309.4121974,310.7472932,6119632,311.0665588
06-05-2024,312.3339158,308.6672619,310.5731481,,310.621521
07-05-2024,315.2362483,309.5911496,309.5911496,5752968,314.0317688
08-05-2024,,315.3910421,315.8747707,11638312,323.657959
09-05-2024,329.5499023,319.5560614,324.001524,11460480,323.3388062
10-05-2024,327.3875823,318.2934828,322.1633124,8270752,320.2622681
11-05-2024,327.1650269,314.481676,320.7120915,11345616,318.554657
12-05-2024,332.0313759,319.2948088,329.0709469,15826360,321.8392029
13-05-2024,320.712073,308.2125302,320.712073,8231600,312.0291443
14-05-2024,315.1927322,311.2358415,313.3594055,4139800,312.0678406
15-05-2024,313.9399176,309.9007831,313.4561889,4589488,312.4500427
16-05-2024,323.7015708,312.6483697,315.4008049,4946672,313.3884888
17-05-2024,316.813232,313.8044541,314.7138545,4098368,
18-05-2024,316.6826442,308.4350707,314.9073506,7435968,309.6540527
19-05-2024,314.1043742,309.3977037,310.0700818,8733360,
20-05-2024,324.581957,314.3269086,314.3269086,11827336,324.0450134
21-05-2024,328.4516779,321.3360264,323.5176468,5571560,327.2181702
22-05-2024,328.8386473,319.7155227,328.8386473,5337672,324.3109436
23-05-2024,327.6778353,321.2781138,323.614514,4601448,326.1395874
24-05-2024,328.3550335,323.6725492,328.3550335,9934720,326.2459717
25-05-2024,328.4420461,323.4402969,327.0005442,8457168,325.8057251
26-05-2024,328.1614729,322.1632384,324.0981527,7607008,323.2564697
27-05-2024,,324.0305288,324.5819748,13086960,335.2772217
28-05-2024,340.5449875,335.7125427,336.2881751,,
29-05-2024,349.0925401,341.0287723,341.0287723,18004184,345.9483032
30-05-2024,342.9055468,336.9024933,338.5133002,,339.3211365
31-05-2024,340.5449503,336.1913927,338.6100358,3811352,336.931488
01-06-2024,346.7075962,339.5774421,340.931882,5628672,345.7207947
02-06-2024,348.1879425,342.5766892,348.1879425,5916936,346.0401917
03-06-2024,350.7032173,343.519848,344.4195878,8941360,349.097229
04-06-2024,350.9645289,346.988293,349.0586425,6762480,349.4988403
